agent_id,algo,dm_uuid,dm_type,indicator,decision
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--5f8247e2-4ad7-49a5-b08e-7091f46277ae,0
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--a58fd368-5a49-43ad-92be-3b041e2763d3,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--037f62d5-ed97-4841-9d09-d3f12712947c,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--1f8bc42e-ca29-47e6-94bb-d3f92a57ebfe,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--19f20b94-0ef0-4971-83ff-fc9ccdd5a4b1,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--4290328e-3a1f-445f-96ff-bf4a26e44316,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--ab7dbb6a-1df5-4446-8b77-a03848bc2681,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--33dea1d1-2ede-4445-8347-f50ec0cee95a,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--f6e57b92-57e1-4f0f-aed3-18fdbe1e169c,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--d683ee9f-8b37-4472-8ef6-e1d133dcc224,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--aa77b640-c2dd-4b0a-8c19-16f10c275698,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--3,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--8a2d2c37-3b9d-4d35-90f6-e3523b7c5c30,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--03,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--4141082c-f15d-46f9-921c-63caaccb982d,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--a1518448-62cc-4855-8e20-ae43bdb490f2,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--062,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--54a0cdc1-de03-433b-8631-4fb167a6aa97,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--2b74c838-7bfb-4085-877b-ddc62fca9527,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--c1bf8d0d-c362-4b13-9781-6e19fa1a31f5,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--3cc28328-e416-4d74-896d-37c76d2ebdb9,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--8291697a-22e7-4e93-b3fb-4a6d03376c4d,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--31862836-8b35-4702-ade1-5060ea3b5e27,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--9d9e0437-70f6-4717-b826-9969ce25c14e,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--f2f88517-76b1-4fbb-a3b6-aba33c19a987,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--f29bd04a-be35-40d3-b006-5dc0e1d20f67,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--19dc94e6-2383-4839-b7e0-62b32f1e1d3e,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--5c2e0b24-001c-4236-9415-d22ac3027a8b,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--2e251394-3e91-47dc-b68f-6dd881e83ada,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--5626a61a-3c13-4151-be78-7c39a5aa5d7c,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--059,1
48e17d78-a9a2-4ffe-9df5-2c5319fb9bb0,DAC,4bafe7e6-003b-4f5f-9ffe-be9817d67bb3,Detective,indicator--ebf67b36-07bc-4fc6-913c-626befb4edb5,1
