agent_id,algo,dm_uuid,dm_type,indicator,decision
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--c8f0f02c-2a7e-4f9c-9a8e-58c0dc1bb734,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--0085a112-f189-4e80-b4de-295a728c8502,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--053,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--9b1ae9a4-313f-45ce-9ac1-e1c850911b24,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--ace53d21-7077-4e81-9a28-e26634bad311,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--669d370c-0372-40b7-bb80-05c3ae123df3,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--68d32c59-628b-4a0d-823d-b4c28ea42127,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--5bc7b9d7-2334-49d1-8a9d-a74e0e23dc2c,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--058,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--03,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--b46431fb-85bb-48cc-aa38-ffd7ce56b2f4,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--f54f4a29-6b60-4f13-8d95-5d48f9dc0fdb,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--150f172b-4b2a-4a0c-a918-aa9c51e621e5,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--70275c5d-bfa3-447b-97b3-3029f23310b6,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--e64b4150-1adb-4dc2-9def-1742d880c722,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--f2d2b8f6-a4f9-4d03-8cdf-6e1eabe0aad8,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--b5e011e8-1a86-4e83-94d1-3b0232901db3,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--27bafa07-2586-4774-9421-aa639eae9954,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--14ad26df-52e9-4c08-b013-57c1d94a19d4,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--ea9ce518-bb87-419c-8b5d-40a7997c3045,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--567b847e-82b4-4d6f-8865-1c46f1113c2d,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--4223c429-8279-4bec-aa95-53ca0215d84b,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--91873f1e-4aa9-4b0f-82d2-9cd2d123f20c,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--ffc9c784-3f4c-4f3b-b7cb-c8a738f1f282,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--58746e66-13da-499f-863b-97fbf18542c8,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--d5d85066-9ff3-4ee9-8b10-9d4f2c2d0804,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--67b1080f-716e-49ee-9b25-4b6826ffe7b3,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--2274b254-ff11-44b1-bcbb-80360b7ac908,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--047,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--dbc01906-6d55-412a-9b02-d7e1e7dfe4b4,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--a29afef0-bbc6-48b3-ac86-9815bc36faa6,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--6e3a8e60-708f-4f7e-8518-0d5822a780c5,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--4944832c-8881-482b-9436-90837c3df0cd,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--8d24ad8a-3069-4865-9adf-05acfc61ef22,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--72688f90-7288-4223-9f61-24f7eafb67e0,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--00000000-0000-4000-8000-000000000007,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--0498774c-fe67-4c89-8d4e-874936558a4e,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--33b483bf-da13-4350-8685-c943a9e8a013,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--39f782fb-9198-4eb0-84dd-b71accd9a442,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--036,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--b02c4728-dc97-4c8c-a069-bd2f16b89ad9,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--6d03bf8e-a334-41dd-8bba-02ef39b49007,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--f79bad83-edd8-4cf9-bda2-b50c9841fe6f,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--5bb32bbc-5da1-4505-9f7a-14c568006c1c,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--06b2d3c3-4c11-4736-952e-139fb91eb093,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--2f6406b0-1238-4057-9862-9c5011ecf5fd,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--140fe95b-a3e2-42d4-8750-077c916ab1da,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--0fb485bc-33d9-491b-b323-3e2e84478865,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--48c4a889-3f90-4537-b7e6-ddbdfefb4293,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--4acd021e-9ce1-41a4-a9f5-3189018b0c34,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--9c7845b7-59e3-4fd2-8808-5b9667ad23b9,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--0196ad06-6401-4387-b46c-e92b542085fd,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--2ef5968e-ba99-423d-bc7c-c16afa6691e4,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--6e27fa90-2030-4447-b33d-1d5add0f5408,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--38b1657a-84fe-403c-9ac9-9e1f7aae95f5,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,vulnerability--41fc7e3b-98b6-4216-8aca-669b101006c8,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--00000000-0000-4000-8000-000000000003,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--876e09b9-abb5-4711-874d-0a4de0549b14,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--98354215-a334-464c-b73d-00a570774ab7,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--e3024cba-38ba-4637-a0f5-d56f04ede3e9,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--0e50d1a2-7820-44ac-86a2-9c1162f9b9a4,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--d4b67aeb-a7b1-4f0c-969c-24a096aab204,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--a1f8e78c-69d8-4be3-9f47-4c9921ce7ffd,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--a9a4b3c2-b5cf-40cb-9761-a51596006509,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--27969a12-3793-42dc-8c21-bfa456bd9508,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--8c26bbf5-6298-4e99-9327-a4fbb56d54d0,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--048,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--1dc7c9c8-6c84-4686-9f18-0e0e05e1c584,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--5149a94f-d828-43d5-bf47-f285c286f7c6,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--f56eced7-5766-4baf-b6ba-5c4f91b1a5b0,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--4b353cfe-e966-4021-a1de-767f16f93d04,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--463e6d9c-1437-427e-b5a2-67a6253cceb8,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--7e57a02e-3d54-4e5f-aaad-a3b1dbd2425f,0
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--8ba9577f-2684-4c3f-96d4-13e4fdaf4e91,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--a8855842-b866-452f-a9b9-65dcd2d267d3,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--ebcf5189-8b58-4ea4-8eed-777379ced1b9,1
6fb16936-09b0-491b-8e6a-c3abbfc26f4a,ES,01d3309e-ae9e-4fb1-a2c6-bfde953abde3,Responsive,indicator--239852ed-dc33-4734-84a4-d925bfb05fe0,1
