agent_id,algo,dm_uuid,dm_type,episode,goal,cumulative_goal
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,69471c14-ca99-4579-ac92-9e89357052d3,Detective,0,-1053300.0,-1053300.0
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,69471c14-ca99-4579-ac92-9e89357052d3,Detective,1,-2613552.0,-3666852.0
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,69471c14-ca99-4579-ac92-9e89357052d3,Detective,2,-4173804.0,-7840656.0
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,69471c14-ca99-4579-ac92-9e89357052d3,Detective,3,-5734038.0,-13574694.0
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,69471c14-ca99-4579-ac92-9e89357052d3,Detective,4,-7294092.0,-20868786.0
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,69471c14-ca99-4579-ac92-9e89357052d3,Detective,5,-8854170.0,-29722956.0
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,69471c14-ca99-4579-ac92-9e89357052d3,Detective,6,-10414200.0,-40137156.0
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,69471c14-ca99-4579-ac92-9e89357052d3,Detective,7,-11974266.0,-52111422.0
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,69471c14-ca99-4579-ac92-9e89357052d3,Detective,8,-13534296.0,-65645718.0
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,69471c14-ca99-4579-ac92-9e89357052d3,Detective,9,-15094374.0,-80740092.0
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,db0c24c7-2c10-4b76-91c9-6f1e9d5f34a8,Responsive,0,-1053324.0,-1053324.0
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,db0c24c7-2c10-4b76-91c9-6f1e9d5f34a8,Responsive,1,-2613638.0,-3666962.0
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,db0c24c7-2c10-4b76-91c9-6f1e9d5f34a8,Responsive,2,-4173680.0,-7840642.0
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,db0c24c7-2c10-4b76-91c9-6f1e9d5f34a8,Responsive,3,-5733758.0,-13574400.0
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,db0c24c7-2c10-4b76-91c9-6f1e9d5f34a8,Responsive,4,-7293812.0,-20868212.0
37fe7b78-16b6-4c51-9937-8e2b05438f7b,QL,db0c24c7-2c10-4b76-91c9-6f1e9d5f34a8,Responsive,5,-8853914.0,-29722126.0
