agent_id,algo,dm_uuid,dm_type,episode,goal,cumulative_goal
a75204e4-4a77-44fd-ad8a-52680235d2f3,QL,02495dab-04ed-49b6-b574-bb259362e8b0,Detective,0,-639468.0,-639468.0
a75204e4-4a77-44fd-ad8a-52680235d2f3,QL,02495dab-04ed-49b6-b574-bb259362e8b0,Detective,1,-1894674.0,-2534142.0
a75204e4-4a77-44fd-ad8a-52680235d2f3,QL,02495dab-04ed-49b6-b574-bb259362e8b0,Detective,2,-3149928.0,-5684070.0
a75204e4-4a77-44fd-ad8a-52680235d2f3,QL,02495dab-04ed-49b6-b574-bb259362e8b0,Detective,3,-4405110.0,-10089180.0
a75204e4-4a77-44fd-ad8a-52680235d2f3,QL,02495dab-04ed-49b6-b574-bb259362e8b0,Detective,4,-5660328.0,-15749508.0
a75204e4-4a77-44fd-ad8a-52680235d2f3,QL,02495dab-04ed-49b6-b574-bb259362e8b0,Detective,5,-6915522.0,-22665030.0
a75204e4-4a77-44fd-ad8a-52680235d2f3,QL,02495dab-04ed-49b6-b574-bb259362e8b0,Detective,6,-8170752.0,-30835782.0
a75204e4-4a77-44fd-ad8a-52680235d2f3,QL,02495dab-04ed-49b6-b574-bb259362e8b0,Detective,7,-9425958.0,-40261740.0
a75204e4-4a77-44fd-ad8a-52680235d2f3,QL,02495dab-04ed-49b6-b574-bb259362e8b0,Detective,8,-10681188.0,-50942928.0
a75204e4-4a77-44fd-ad8a-52680235d2f3,QL,02495dab-04ed-49b6-b574-bb259362e8b0,Detective,9,-11936382.0,-62879310.0
a75204e4-4a77-44fd-ad8a-52680235d2f3,QL,34296e56-528c-484e-b6f8-04b31d636467,Responsive,0,-639432.0,-639432.0
a75204e4-4a77-44fd-ad8a-52680235d2f3,QL,34296e56-528c-484e-b6f8-04b31d636467,Responsive,1,-1894650.0,-2534082.0
a75204e4-4a77-44fd-ad8a-52680235d2f3,QL,34296e56-528c-484e-b6f8-04b31d636467,Responsive,2,-3149904.0,-5683986.0
a75204e4-4a77-44fd-ad8a-52680235d2f3,QL,34296e56-528c-484e-b6f8-04b31d636467,Responsive,3,-4405134.0,-10089120.0
a75204e4-4a77-44fd-ad8a-52680235d2f3,QL,34296e56-528c-484e-b6f8-04b31d636467,Responsive,4,-5660340.0,-15749460.0
