agent_id,algo,dm_uuid,dm_type,indicator,decision
5ae48891-6703-4607-89bc-b7afb7c5ad8d,QL,3719a033-af8b-4751-bc51-ecd3ff20f588,Responsive,indicator--d5a46bcd-399a-4ff8-9e6b-c8e2e75f6a87,1
5ae48891-6703-4607-89bc-b7afb7c5ad8d,QL,3719a033-af8b-4751-bc51-ecd3ff20f588,Responsive,indicator--4d346a25-b9c2-4a9e-ad2d-0de9bd909504,0
5ae48891-6703-4607-89bc-b7afb7c5ad8d,QL,3719a033-af8b-4751-bc51-ecd3ff20f588,Responsive,indicator--54f47a23-f8ff-4099-bf0c-92c613606ab3,1
5ae48891-6703-4607-89bc-b7afb7c5ad8d,QL,3719a033-af8b-4751-bc51-ecd3ff20f588,Responsive,indicator--05,0
5ae48891-6703-4607-89bc-b7afb7c5ad8d,QL,3719a033-af8b-4751-bc51-ecd3ff20f588,Responsive,indicator--3106619a-6fc5-418b-881a-b245d3f95fd0,0
5ae48891-6703-4607-89bc-b7afb7c5ad8d,QL,3719a033-af8b-4751-bc51-ecd3ff20f588,Responsive,indicator--016,0
5ae48891-6703-4607-89bc-b7afb7c5ad8d,QL,3719a033-af8b-4751-bc51-ecd3ff20f588,Responsive,indicator--020,1
5ae48891-6703-4607-89bc-b7afb7c5ad8d,QL,3719a033-af8b-4751-bc51-ecd3ff20f588,Responsive,indicator--25ece2b3-35dc-4434-a95e-026433d26476,1
5ae48891-6703-4607-89bc-b7afb7c5ad8d,QL,3719a033-af8b-4751-bc51-ecd3ff20f588,Responsive,indicator--64599fab-f201-41fe-a9e6-f6c6f6b79b4b,1
5ae48891-6703-4607-89bc-b7afb7c5ad8d,QL,3719a033-af8b-4751-bc51-ecd3ff20f588,Responsive,indicator--013,1
5ae48891-6703-4607-89bc-b7afb7c5ad8d,QL,3719a033-af8b-4751-bc51-ecd3ff20f588,Responsive,indicator--6bec57cd-e7e1-471f-96e9-70b91e35f9ad,1
5ae48891-6703-4607-89bc-b7afb7c5ad8d,QL,3719a033-af8b-4751-bc51-ecd3ff20f588,Responsive,indicator--44444444-4444-4444-8444-444444444444,0
5ae48891-6703-4607-89bc-b7afb7c5ad8d,QL,3719a033-af8b-4751-bc51-ecd3ff20f588,Responsive,indicator--c2f540be-90f5-4f46-8bcc-7e3aaf3f7209,0
5ae48891-6703-4607-89bc-b7afb7c5ad8d,QL,3719a033-af8b-4751-bc51-ecd3ff20f588,Responsive,indicator--3185411e-0e14-4557-8836-fe50ad82d14e,0
