agent_id,time,algo,src_0,src_1,src_2,src_3,src_4
3bf9b855-7d07-400a-9432-0ddef6b0c777,1,QL,0.0,0.0,0.0,0.0,0.0
3bf9b855-7d07-400a-9432-0ddef6b0c777,2,QL,0.0,0.0,0.0,0.0,0.0
3bf9b855-7d07-400a-9432-0ddef6b0c777,3,QL,0.0,0.0,0.0,0.0,3.0
3bf9b855-7d07-400a-9432-0ddef6b0c777,4,QL,0.0,0.0,1.5,0.0,1.5
3bf9b855-7d07-400a-9432-0ddef6b0c777,5,QL,0.0,1.6666666666666667,1.0,0.0,1.0
3bf9b855-7d07-400a-9432-0ddef6b0c777,6,QL,0.5,1.25,0.75,0.0,0.75
3bf9b855-7d07-400a-9432-0ddef6b0c777,7,QL,0.4,1.0,0.6,0.8,0.6
3bf9b855-7d07-400a-9432-0ddef6b0c777,8,QL,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.5
3bf9b855-7d07-400a-9432-0ddef6b0c777,9,QL,0.2857142857142857,1.2857142857142858,0.7142857142857143,0.5714285714285714,0.42857142857142855
3bf9b855-7d07-400a-9432-0ddef6b0c777,10,QL,0.25,1.75,0.625,0.5,0.375
3bf9b855-7d07-400a-9432-0ddef6b0c777,11,QL,0.2222222222222222,1.8888888888888888,0.5555555555555556,0.4444444444444444,0.3333333333333333
3bf9b855-7d07-400a-9432-0ddef6b0c777,12,QL,0.2,1.7,0.5,0.8,0.3
3bf9b855-7d07-400a-9432-0ddef6b0c777,13,QL,0.18181818181818182,1.5454545454545454,0.8181818181818182,0.7272727272727273,0.2727272727272727
3bf9b855-7d07-400a-9432-0ddef6b0c777,14,QL,0.16666666666666666,1.4166666666666667,0.75,0.6666666666666666,0.5
3bf9b855-7d07-400a-9432-0ddef6b0c777,15,QL,0.15384615384615385,1.3846153846153846,0.6923076923076923,0.6153846153846154,0.46153846153846156
3bf9b855-7d07-400a-9432-0ddef6b0c777,16,QL,0.14285714285714285,1.6428571428571428,0.6428571428571429,0.5714285714285714,0.42857142857142855
3bf9b855-7d07-400a-9432-0ddef6b0c777,17,QL,0.13333333333333333,1.5333333333333334,0.6,0.6666666666666666,0.4
3bf9b855-7d07-400a-9432-0ddef6b0c777,18,QL,0.125,1.5,0.5625,0.625,0.375
3bf9b855-7d07-400a-9432-0ddef6b0c777,19,QL,0.11764705882352941,1.411764705882353,0.5294117647058824,0.5882352941176471,0.35294117647058826
3bf9b855-7d07-400a-9432-0ddef6b0c777,20,QL,0.1111111111111111,1.4444444444444444,0.5,0.5555555555555556,0.3333333333333333
